"input","old_scope","note_count","range","onset_vs_raw","dur_mass_vs_dur","key"
"Dance Gavin Dance - The ","all_tracks","True","True","True","True","True"
"Dance Gavin Dance - The ","track_0","True","True","True","True","True"
"Dance Gavin Dance - The ","track_0_v0","True","True","True","True","True"
"Dance Gavin Dance - The ","track_1","True","True","True","True","True"
"Dance Gavin Dance - The ","track_1_v0","True","True","True","True","True"
"Dance Gavin Dance - The ","track_2","True","True","True","True","True"
"Dance Gavin Dance - The ","track_2_v0","True","True","True","True","True"
"Dance Gavin Dance - The ","track_3","True","True","True","True","True"
"Dance Gavin Dance - The ","track_3_v0","True","True","True","True","True"
"Dance Gavin Dance - The ","track_4","True","True","True","True","True"
"Dance Gavin Dance - The ","track_4_v0","True","True","True","True","True"
"Wolf & Bear - Deleto.gp5","all_tracks","True","True","True","True","True"
"Wolf & Bear - Deleto.gp5","track_0","True","True","True","True","True"
"Wolf & Bear - Deleto.gp5","track_0_v0","True","True","True","True","True"
"Wolf & Bear - Deleto.gp5","track_1","True","True","True","True","True"
"Wolf & Bear - Deleto.gp5","track_1_v0","True","True","True","True","True"
"Wolf & Bear - Deleto.gp5","track_2","True","True","True","True","True"
"Wolf & Bear - Deleto.gp5","track_2_v0","True","True","True","True","True"
"Wolf & Bear - Deleto.gp5","track_3","True","True","True","True","True"
"Wolf & Bear - Deleto.gp5","track_3_v0","True","True","True","True","True"
"Hail The Sun - Eight-Bal","all_tracks","True","True","True","True","True"
"Hail The Sun - Eight-Bal","track_0","True","True","True","True","True"
"Hail The Sun - Eight-Bal","track_0_v0","True","True","True","True","True"
"Hail The Sun - Eight-Bal","track_1","True","True","True","True","True"
"Hail The Sun - Eight-Bal","track_1_v0","True","True","True","True","True"
"Hail The Sun - Eight-Bal","track_2","True","True","True","True","True"
"Hail The Sun - Eight-Bal","track_2_v0","True","True","True","True","True"
"synth_wide_diatonic.mid","all_tracks","True","True","True","True","True"
"synth_wide_diatonic.mid","track_0","True","True","True","True","True"
"synth_wide_diatonic.mid","track_0_v0","True","True","True","True","True"
"synth_wide_pentatonic.mi","all_tracks","True","True","True","True","True"
"synth_wide_pentatonic.mi","track_0","True","True","True","True","True"
"synth_wide_pentatonic.mi","track_0_v0","True","True","True","True","True"
"synth_wide_chromatic.mid","all_tracks","True","True","True","True","True"
"synth_wide_chromatic.mid","track_0","True","True","True","True","True"
"synth_wide_chromatic.mid","track_0_v0","True","True","True","True","True"
"synth_narrow_diatonic.mi","all_tracks","True","True","True","True","True"
"synth_narrow_diatonic.mi","track_0","True","True","True","True","True"
"synth_narrow_diatonic.mi","track_0_v0","True","True","True","True","True"
