input,track,harmony,tonic_pc,mode,scale_fit_bits,identical
"Dance Gavin Dance - The Robot With Human Hair Part 2 (ver 2 by Thomasoman).gp5",0,some,2,Major,4607162743834410722,yes
"Dance Gavin Dance - The Robot With Human Hair Part 2 (ver 2 by Thomasoman).gp5",1,some,4,Minor,4607153123692672449,yes
"Dance Gavin Dance - The Robot With Human Hair Part 2 (ver 2 by Thomasoman).gp5",2,some,9,Minor,4604875572146088575,yes
"Dance Gavin Dance - The Robot With Human Hair Part 2 (ver 2 by Thomasoman).gp5",3,some,9,Major,4606173375061430279,yes
"Dance Gavin Dance - The Robot With Human Hair Part 2 (ver 2 by Thomasoman).gp5",4,some,4,Minor,4607182418800017408,yes
"Wolf & Bear - Deleto.gp5",0,some,1,Minor,4607101455211210747,yes
"Wolf & Bear - Deleto.gp5",1,some,11,Major,4606205009865863544,yes
"Wolf & Bear - Deleto.gp5",2,some,6,Major,4606576892799698686,yes
"Wolf & Bear - Deleto.gp5",3,some,6,Minor,4603928563723816108,yes
"Hail The Sun - Eight-Ball Coroners Pocket.gpx",0,some,2,Major,4605627844796504580,yes
"Hail The Sun - Eight-Ball Coroners Pocket.gpx",1,some,9,Major,4604755561693732114,yes
"Hail The Sun - Eight-Ball Coroners Pocket.gpx",2,some,2,Major,4605344598896369002,yes
"synth_wide_diatonic.mid",0,some,0,Major,4607182418800017408,yes
"synth_wide_pentatonic.mid",0,some,0,Major,4607182418800017408,yes
"synth_wide_chromatic.mid",0,some,0,Major,4603506010940939452,yes
"synth_narrow_diatonic.mid",0,some,0,Major,4607182418800017408,yes
